,,,0
.NET C# разработчик,salary_from_uniques,3000.0,1
.NET C# разработчик,salary_to_uniques,0.0,1
.NET C# разработчик,experience_uniques,От 3 до 6 лет,1
.NET C# разработчик,employment_uniques,Полная занятость,1
.NET C# разработчик,schedule_uniques,Удаленная работа,1
.NET C# разработчик,key_skills_uniques,SQL,1
.NET C# разработчик,key_skills_uniques,MS SQL,1
.NET C# разработчик,key_skills_uniques,C#,1
.NET C# разработчик,key_skills_uniques,Visual Studio C#,1
.NET C# разработчик,key_skills_uniques,C++,1
.NET Developer (Разработчик (Программист .NET),salary_from_uniques,0.0,1
.NET Developer (Разработчик (Программист .NET),salary_to_uniques,200000.0,1
.NET Developer (Разработчик (Программист .NET),experience_uniques,От 3 до 6 лет,1
.NET Developer (Разработчик (Программист .NET),employment_uniques,Полная занятость,1
.NET Developer (Разработчик (Программист .NET),schedule_uniques,Полный день,1
.NET Developer (Разработчик (Программист .NET),key_skills_uniques,JavaScript,1
.NET Developer (Разработчик (Программист .NET),key_skills_uniques,MVC,1
.NET Developer (Разработчик (Программист .NET),key_skills_uniques,ASP.NET,1
.NET Developer (Разработчик (Программист .NET),key_skills_uniques,jQuery,1
.NET Developer (Разработчик (Программист .NET),key_skills_uniques,AngularJS,1
.NET разработчик,experience_uniques,От 3 до 6 лет,1
.NET разработчик,employment_uniques,Полная занятость,1
.NET разработчик,schedule_uniques,Полный день,1
.NET разработчик,key_skills_uniques,C#,1
.NET разработчик,key_skills_uniques,JavaScript,1
.NET разработчик,key_skills_uniques,MS SQL,1
.NET разработчик,key_skills_uniques,MS SQL Server,1
.NET разработчик,key_skills_uniques,ASP.NET,1
.Net разработчик (Middle),experience_uniques,От 1 года до 3 лет,1
.Net разработчик (Middle),employment_uniques,Полная занятость,1
.Net разработчик (Middle),schedule_uniques,Полный день,1
.Net разработчик (Middle),key_skills_uniques,ООП,1
.Net разработчик (Middle),key_skills_uniques,MS Visual Studio,1
.Net разработчик (Middle),key_skills_uniques,Entity Framework,1
.Net разработчик (Middle),key_skills_uniques,MS SQL Server,1
.Net разработчик (Middle),key_skills_uniques,C#,1
.Net разработчик (Middle),key_skills_uniques,WPF,1
.Net разработчик (Middle),key_skills_uniques,Работа с базами данных,1
.net разработчик,salary_from_uniques,40000.0,1
.net разработчик,salary_to_uniques,100000.0,1
.net разработчик,experience_uniques,От 3 до 6 лет,1
.net разработчик,employment_uniques,Полная занятость,1
.net разработчик,schedule_uniques,Полный день,1
.net разработчик,key_skills_uniques,Entity Framework,1
.net разработчик,key_skills_uniques,Ajax,1
.net разработчик,key_skills_uniques,Git,1
.net разработчик,key_skills_uniques,C#,1
.net разработчик,key_skills_uniques,ASP.NET,1
.net разработчик,key_skills_uniques,jQuery,1
.net разработчик,key_skills_uniques,JavaScript,1
.net разработчик,key_skills_uniques,Transact-SQL,1
.net разработчик,key_skills_uniques,MVC,1
.net разработчик,key_skills_uniques,MS SQL Server,1
.net разработчик,key_skills_uniques,PostgreSQL,1
.net разработчик,key_skills_uniques,TFS,1
.net разработчик,key_skills_uniques,LINQ,1
1С:Эксперт / программист по вопросам производительности 1С,salary_from_uniques,150000.0,1
1С:Эксперт / программист по вопросам производительности 1С,salary_to_uniques,350000.0,1
1С:Эксперт / программист по вопросам производительности 1С,experience_uniques,От 3 до 6 лет,1
1С:Эксперт / программист по вопросам производительности 1С,employment_uniques,Полная занятость,1
1С:Эксперт / программист по вопросам производительности 1С,schedule_uniques,Полный день,1
ASP.NET MVC разработчик,experience_uniques,От 1 года до 3 лет,1
ASP.NET MVC разработчик,employment_uniques,Полная занятость,1
ASP.NET MVC разработчик,schedule_uniques,Полный день,1
ASP.NET MVC разработчик,key_skills_uniques,ООП,1
ASP.NET MVC разработчик,key_skills_uniques,JavaScript,1
ASP.NET MVC разработчик,key_skills_uniques,MVC,1
ASP.NET MVC разработчик,key_skills_uniques,.NET Framework,1
ASP.NET MVC разработчик,key_skills_uniques,HTML,1
ASP.NET MVC разработчик,key_skills_uniques,Git,1
ASP.NET MVC разработчик,key_skills_uniques,C#,1
ASP.NET MVC разработчик,key_skills_uniques,MS SQL,1
ASP.NET MVC разработчик,key_skills_uniques,ASP.NET,1
ASP.NET MVC разработчик,key_skills_uniques,CSS,1
ASP.NET+C# Developer (Middle / Pre-Middle),experience_uniques,Нет опыта,1
ASP.NET+C# Developer (Middle / Pre-Middle),employment_uniques,Полная занятость,1
ASP.NET+C# Developer (Middle / Pre-Middle),schedule_uniques,Гибкий график,1
Android Developer,salary_from_uniques,150000.0,1
Android Developer,salary_to_uniques,0.0,1
Android Developer,experience_uniques,От 3 до 6 лет,1
Android Developer,employment_uniques,Полная занятость,1
Android Developer,schedule_uniques,Полный день,1
Android Developer,key_skills_uniques,ООП,1
Android Developer,key_skills_uniques,Java,1
Android Developer,key_skills_uniques,C++,1
Android Developer,key_skills_uniques,SQL,1
Android Developer,key_skills_uniques,Git,1
Android Developer,key_skills_uniques,Kotlin,1
Android developer,salary_from_uniques,150000.0,1
Android developer,salary_to_uniques,0.0,1
Android developer,experience_uniques,От 3 до 6 лет,1
Android developer,experience_uniques,От 1 года до 3 лет,1
Android developer,employment_uniques,Полная занятость,2
Android developer,schedule_uniques,Полный день,1
Android developer,schedule_uniques,Удаленная работа,1
"Android developer (Middle, Senior)",experience_uniques,От 3 до 6 лет,1
"Android developer (Middle, Senior)",employment_uniques,Полная занятость,1
"Android developer (Middle, Senior)",schedule_uniques,Полный день,1
"Android developer (Middle, Senior)",key_skills_uniques,Java,1
"Android developer (Middle, Senior)",key_skills_uniques,Java SE,1
"Android developer (Middle, Senior)",key_skills_uniques,Телефонные переговоры,1
"Android developer (Middle, Senior)",key_skills_uniques,Android SDK,1
"Android developer (Middle, Senior)",key_skills_uniques,Android,1
Android Разработчик,salary_from_uniques,150000.0,1
Android Разработчик,salary_to_uniques,0.0,1
Android Разработчик,experience_uniques,От 3 до 6 лет,1
Android Разработчик,employment_uniques,Полная занятость,1
Android Разработчик,schedule_uniques,Гибкий график,1
Android Разработчик,key_skills_uniques,ORM,1
Android Разработчик,key_skills_uniques,Android SDK,1
Android Разработчик,key_skills_uniques,AppCompat,1
Android Разработчик,key_skills_uniques,UI,1
Android Разработчик,key_skills_uniques,TDD,1
Android Разработчик,key_skills_uniques,"ООП, MVC, MVP",1
Android Разработчик,key_skills_uniques,Android,1
Android Разработчик,key_skills_uniques,Google Play,1
Android Разработчик,key_skills_uniques,Wiki,1
Android Разработчик,key_skills_uniques,Bluetooth / BLE,1
Android Разработчик,key_skills_uniques,Web Application Development,1
Android Разработчик,key_skills_uniques,Unit-Tests,1
Android Разработчик,key_skills_uniques,"RxJava, Retrofit, Butterknife, EventBus",1
Android Разработчик,key_skills_uniques,Java,1
Android Разработчик,key_skills_uniques,SQLite,1
