,id,name,created_at,area,employer,experience,employment,schedule,description,responsibility,requirement,key_skills,salary_from,salary_to
204,35017765,"Web-разработчик, fullstack (Рига, Латвия)",2020-01-06T15:30:09+0300,Москва,КАРГОТЕНДЕР.РУ,От 3 до 6 лет,Полная занятость,Полный день,"<p><strong>Международная Компания КАРГОТЕНДЕР ищет</strong><strong> высококлассного разработчика для работы над проектами Компании.</strong></p> <p><em><strong>Позиция предусматривает релокацию в Ригу.</strong></em></p> <p><strong>Обязанности:</strong></p> <ul> <li>Текущие задачи на WEB-проектах компании;</li> </ul> <strong>Требования:</strong> <ul> <li>Иметь навыки веб-разработки (Angular, Php5, Php7)</li> <li>Обладать опытом работы с MySQL</li> <li>Плюсом будет знание фреймворка Symfony</li> </ul> <p><strong>Условия:</strong></p> <ul> <li> <p>Официальное трудоустройство;</p> </li> <li>Конкурентоспособная заработная плата (обсуждается с успешным кондидатом);</li> <li>Помощь в релокации;</li> <li>Сопровождение и помощь с адаптацией;</li> <li>Рабочая Виза</li> <li>График 5/2 (9:00-18:00)</li> <li>Комфортный и просторный офис, расположенный в Риге</li> </ul> <p>Присылайте CV c кратким описанием проектов, над которыми работали ранее. Свяжемся с наиболее подходящими кандидатами.</p>",Текущие задачи на WEB-проектах компании.,"Иметь навыки веб-разработки (Angular, Php5, Php7). Обладать опытом работы с MySQL. Плюсом будет знание фреймворка Symfony.",[],2000.0,0.0
324,34831187,Фронтенд-разработчик HTML + Vue,2020-01-07T15:38:42+0300,Москва,ПИК-БРОКЕР,От 3 до 6 лет,Полная занятость,Удаленная работа,"Требуется опытный разработчик для создания большой информационной системы компании (в том числе BPM и CRM систем)<br /><br /><strong>Обязанности:</strong> <ul> <li>Участие в командной разработке;</li> <li>Участие в проектировании архитектуры приложения (фронтальная часть);</li> <li>Верстка под десктопные и мобильные устройства;</li> <li>Написание JS-кода как отдельного front-end проекта так и добавления динамики в существующие &quot;простые&quot; сайты:</li> <li>Внедрение результата своей работы (верстки + js) в код проекта;</li> <li>Интеграция со сторонними сервисами и плагинами;</li> <li>Тестирование кода и проверка его на соответствие требованиям;</li> <li>Самостоятельная нарезка дизайна;</li> <li>Работа с системой контроля версий (git);</li> </ul> <strong>Требования:</strong> <ul> <li>Опыт работы от 5 лет;</li> <li>Опыт проектирования архитектуры приложения;</li> <li>Уверенные знания HTML5 и CSS3;</li> <li>Понимание ES5, ES6 и jQuery</li> <li>Уверенные знания VueJS;</li> <li>Глубокое понимание возможностей современных браузеров;</li> <li>Умение внедрять результат своей работы (верстку + js) в код проекта;</li> <li>Организованность и соблюдение договоренностей;</li> <li>Умение нести ответственность за свои решения и действия;</li> <li>Знание английского языка на уровне чтения технической документации;</li> </ul> <p><strong>Дополнительные пожелания к кандидату:</strong></p> <ul> <li>Знакомство с Symfony4 и YII2</li> <li>Умение правильно и полно взаимодействовать с PHP</li> <li>Опыт работы с VuetifyJS;</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Удаленная работа с возможностью выбрать график;</li> <li>Привязка к московскому часовому поясу;</li> <li>Достойная оплата с возможностью роста;</li> </ul>",Участие в командной разработке. Участие в проектировании архитектуры приложения (фронтальная часть). Верстка под десктопные и мобильные устройства. Написание JS-кода...,"Опыт работы от 5 лет. Опыт проектирования архитектуры приложения. Уверенные знания HTML5 и CSS3. Понимание ES5, ES...","['CSS3', 'HTML5', 'VueJS', 'VuetifyJS']",2000.0,0.0
562,34830826,Бэкенд-разработчик PHP,2020-01-07T15:25:57+0300,Москва,ПИК-БРОКЕР,Более 6 лет,Полная занятость,Удаленная работа,"<strong>Обязанности:</strong> <ul> <li>Участие в командной разработке;</li> <li>Участие в проектировании архитектуры приложения;</li> <li>Работа с системой контроля версий (git);</li> <li>Интеграция со сторонними сервисами;</li> <li>Написание кода серверного ПО на фреймворках Symphony4 (в основном) и на Yii2</li> <li>Тестирование кода и проверка его на соответствие требованиям, создание unit-тестов;</li> <li>Умение нести ответственность за свои решения и действия;</li> </ul> <strong>Требования:</strong> <ul> <li>Опыт работы от 5 лет;</li> <li>Квалификация на уровне выше middle</li> <li>Опыт проектирования архитектуры приложения;</li> <li>Уверенные знания PHP 7+</li> <li>Опыт работы с PostgreSQL / MySQL хранилищами данных:<br />- Понимание нормализации;<br />- Умение построить внятную архитектуру БД;<br />- Умение писать и отлаживать сложные запросы с удобоваримым быстродействием;<br />- Понимание принципов работы индексов, блокировок, транзакций;</li> <li>Опыт разработки масштабируемых, отказоустойчивых распределенных систем:</li> <li>Понимание распределенных архитектур и их отличий;</li> <li>Понимание принципов разработки микросервисной системы;</li> <li>KISS, SOLID;</li> <li>Понимание принципов построения API (REST, RPC);</li> <li>Опыт работы с нереляционными хранилищами данных;</li> <li>Опыт командной работы над проектами;</li> <li>Организованность и соблюдение договоренностей;</li> <li>Знание английского языка на уровне чтения технической документации;</li> </ul> <p><strong>Дополнительные пожелания к кандидату:</strong></p> <ul> <li>Symfony4 (Желательны так же знания по Yii2);</li> <li>Знания или опыт работы с брокерами сообщений по протоколу AMQP (RabbitMQ);</li> <li>Умение писать на NodeJS;</li> <li>Опыт разработки сложных информационных систем в области big data — большой плюс;</li> </ul> <p> </p> <strong>Условия:</strong> <ul> <li>Удаленная работа с возможностью выбрать график в разумных пределах;</li> <li>Привязка к московскому часовому поясу;</li> <li>Достойная оплата с возможностью роста;</li> </ul>",Участие в командной разработке. Участие в проектировании архитектуры приложения. Работа с системой контроля версий (git). Интеграция со сторонними сервисами. ,Опыт работы от 5 лет. Квалификация на уровне выше middle. Опыт проектирования архитектуры приложения. Уверенные знания PHP 7+. ,"['PostgreSQL', 'ООП', 'PHP7', 'Symfony4', 'RabbitMQ', 'Nginx', 'Redis', 'Yii2']",2000.0,0.0
12,35001164,.NET C# разработчик,2020-01-06T23:05:42+0300,Москва,ecomsolutions,От 3 до 6 лет,Полная занятость,Удаленная работа,<p>Looking for Russian speaking .NET C# developer. The job assumes working in an international team.</p> <p>Skills and Knowledge Required:<br />- Good <strong>spoken</strong> and written English<br />- Good programming skills in .NET C#<br />- Relational Database<br />- No SQL Database<br />- Good team player</p>,,Skills and Knowledge Required: - Good spoken and written English. - Good programming skills in .NET C#. - Relational Database. - No SQL Database. - ,"['C#', 'SQL', 'MS SQL', 'C++', 'Visual Studio C#']",3000.0,0.0
199,35001189,React-разработчик,2020-01-06T23:29:40+0300,Москва,ecomsolutions,От 3 до 6 лет,Полная занятость,Удаленная работа,We are looking to hire Russian speaking Frontend developer with React experience<br /><br /><strong>Looking for a Developer with:</strong> <ul> <li>More than 3 years of experience with React.js - is a must;</li> <li>Good understanding of redux library and flux workflow;</li> <li>Good CSS knowledge;</li> <li>Experience developing enterprise-level applications;</li> <li>Solid understanding of REST protocol;</li> <li>Good team player.</li> </ul>,,Good understanding of redux library and flux workflow. Good CSS knowledge. Experience <highlighttext>developing</highlighttext> enterprise-level applications. Solid understanding of REST...,['React'],3000.0,0.0
122,28163901,"Ведущий разработчик/разработчик C++/Qt (GUI Team, VMS)",2020-01-05T14:21:03+0300,Москва,NetworkOptix,От 3 до 6 лет,Полная занятость,Полный день,"<p><strong>NetworkOptix</strong> - американская IT-компания, которая занимается разработкой систем видеонаблюдения (IP Video Management Systems). Мы делаем мощное, но при этом простое в использовании программное обеспечение для управления сетевым видео. Семь лет работы талантливых людей - и мы превратились в успешную компанию, которая активно ищет новых людей. Мы заняли 7-е место по скорости роста среди IT-компаний в США (по оценке Inc.5000 в 2016г). Уже сегодня наша система видеонаблюдения активно используется в Северной Америке, в Европе, в Азии.</p> <p>Наш продукт – система видеонаблюдения NX Witness. Можно скачать бесплатную версию и попробовать ее в действии. В Северной Америке мы выпускаемся под брендами DW Spectrum и WAVE. </p> <p><strong>Кого мы ищем?</strong></p> <p>Разработка GUI - это интересные архитектурные задачи, это погружение в недра фреймворков, это тюнинг интерфейса до последнего пикселя, это диалог с дизайнером и реализация собственных идей. Именно от нас зависит впечатление пользователя при работе с продуктом.</p> <p>Нам нужны люди, готовые вместе с нами делать красивый, надёжный, быстрый и удобный в использовании продукт. Нам нужны люди мотивированные, инициативные, умеющие отстаивать свои идеи, любящие работу и умеющие отдыхать. Мы больше заинтересованы в тех людях, которые предпочитают и умеют администрировать себя сами, а не нуждаются в постоянном руководстве. Если вы любите программировать, стараетесь развиваться и узнавать что-то новое каждый день - напишите нам!</p> <p>К сожалению, мы не рассматриваем кандидатов на удаленную работу.</p> <p>Уважаемые соискатели, укажите, пожалуйста в сопроводительном письме или в резюме <strong>ссылку на примеры вашего кода</strong>.</p> <p><strong>Что вы должны уметь?</strong></p> <ul> <li>Разрабатывать интерфейс не только удобный, но и красивый. Внимание к деталям очень важно. Крайне желателен большой опыт в этой области.</li> <li>Знать Qt Widgets, хотя бы основы. Для работы придётся изучить этот фреймворк очень глубоко.</li> <li>Всегда помнить о быстродействии. GUI не должен тормозить ни при каких обстоятельствах.</li> <li>Решать сложные задачи от начала до конца, от архитектуры классов до оптимизации FPS.</li> <li>Писать чистый, красивый, а главное, читабельный код.</li> <li>Писать и читать по-английски (Intermediate+).</li> </ul> <p><strong>Что надо будет делать?</strong></p> <ul> <li>Программировать GUI на Qt Widgets, QML, а иногда и на OpenGL.</li> <li>Постоянно улучшать существующий код. Нет предела совершенству.</li> <li>Реализовывать новые функции как в десктопном, так и в мобильном клиентах, под Windows, Linux, Mac, Android и iOS.</li> </ul> <p><strong>Что может пригодиться?</strong></p> <ul> <li>С++14/17/20. Мы всегда на острие прогресса.</li> <li>Умение и желание залезать во внутренности Qt (и чинить его по необходимости).</li> <li>Знание сетевых протоколов и основ работы с базами данных. Иногда GUI-разработчикам приходится писать и серверный код.</li> <li>Опыт разработки мобильных приложений на QML или нативными средствами.</li> <li>Опыт работы с различными медиа-форматами, кодеками, контейнерами (mkv, mpeg2-ts, h.264, webm, vp8, mjpeg etc), протоколами доставки медиа (rtsp, http, hls), ffmpeg и умение работать с ними на программном уровне. Не то чтобы это часто было нужно, но понимание того, с чем мы работаем, бывает полезно.</li> </ul> <p> </p>","Программировать GUI на Qt Widgets, QML, а иногда и на OpenGL. Постоянно улучшать существующий код. Нет предела совершенству. ",Знание сетевых протоколов и основ работы с базами данных. Иногда GUI-<highlighttext>разработчикам</highlighttext> приходится писать и серверный код. Опыт разработки мобильных...,"['C++', 'GUI', 'Графический интерфейс пользователя', 'Qt', 'Qt Widgets', 'QML', 'OpenGL', 'Десктопные приложения', 'Мобильные приложения', 'Windows', 'Linux', 'Mac', 'Android', 'iOS', 'С++ 14/17']",4000.0,0.0
962,34970616,Программист 1С,2019-12-12T06:07:35+0300,Москва,BAYDAK-SOFT,От 1 года до 3 лет,Полная занятость,Удаленная работа,"<p>Удаленный программист 1С на поддержку проекта 1С:Совместимо.</p> <p>Долгосрочно. В неделю требуется уделять 10-20 часов.</p> <p>Проект состоит из внешней обработки 40000 строк. В этом предстоит разобраться, со своей стороны дадим полную поддержку.</p> <p> </p> <p><strong>От нас:</strong></p> <p>+ постоянный поток задач по проекту</p> <p>+ работа через систему учета задач</p> <p>+ оплата вашей ставки за час</p> <p>+ консультации по проекту (текст, голос)</p> <p> </p> <p><strong>От вас:</strong></p> <p>+ правильное кодирование согласно стандартам 1С:Совместимо и принципам, описанным С. Макконнеллом в книге «Совершенный код»</p> <p>+ системное мышление</p> <p>+ умение разбираться в чужом коде</p> <p>+ умение создавать красивые, дружелюбные пользователю интерфейсы</p> <p>+ придерживаться принципа: «критикуешь — предлагай, предлагаешь — делай»</p> <p>+ хорошее знание платформы 8.3, управляемых форм и основ бух.учета</p> <p>+ готовность решить 2 тестовых задачи, которые будут оплачены после первого месяца работы</p>","Удаленный <highlighttext>программист</highlighttext> 1С на поддержку проекта 1С:Совместимо. + консультации по проекту (текст, голос).","От вас: + правильное кодирование согласно стандартам 1С:Совместимо и принципам, описанным С. Макконнеллом в книге «Совершенный код». ",[],15000.0,0.0
170,34416058,Программист junior (web-разработка),2020-01-07T14:18:47+0300,Москва,Тайм Авеню,Нет опыта,Полная занятость,Полный день,"<strong>Обязанности:</strong> <ul> <li>Участие в проектах по разработке внутрикорпоративных информационных систем<br />(web-приложения для автоматизации бизнес-процессов компании)</li> <li>Сопровождение и модернизация разработанных ИС</li> <li>Интеграция разрабатываемых ИС с существующими системами компании.</li> </ul> <strong>Требования:</strong> <ul> <li>Базовые знания javascript: чистый ES6+ и jquery,</li> <li>Базовые знания php: 5, 7,</li> <li>Понимание принципов ООП, MVC,</li> <li>Базовые знания MySQL</li> <li>Базовые знания HTML 5 и CSS 3</li> </ul> <strong>Условия:</strong> <p>полное соблюдение ТК РФ;<br />график работы: 5/2 с 11-00 до 19-00<br />комфортабельный офис м. Курская, Чистые пруды</p>",Участие в проектах по разработке внутрикорпоративных информационных систем. (web-приложения для автоматизации бизнес-процессов компании). Сопровождение и модернизация разработанных ИС. ,"Базовые знания javascript: чистый ES6+ и jquery. Базовые знания php: 5, 7. Понимание принципов ООП, MVC. ","['HTML5', 'MySQL', 'CSS3', 'PHP5', 'MVC', 'jQuery']",35000.0,0.0
871,34909828,Front-end developer (JUNIOR) / Веб-разработчик / ReactJS developer,2019-12-06T21:21:43+0300,Москва,Пахомов Антон Юрьевич,От 1 года до 3 лет,Полная занятость,Удаленная работа,"<p>Головная компания расположена в Москве. Занимаемся разработкой веб-сервисов для производственных предприятий, торговых сетей. Среди клиентов крупные российские и европейские производства – Knauf, Braer, Волма, Hilti, МеталлПрофиль.</p> <p> </p> <p><strong>Кого мы ищем:</strong></p> <p>Находимся в постоянном поиске талантливых разработчиков, которые будут расти вместе с нами, делать лучший в индустрии продукт и работать в дружной команде над интересными задачами.</p> <p> </p> <p><strong>Что мы от Вас ожидаем:</strong></p> <ul> <li>Минимум 1 год опыта в веб-разработке (junior-middle)</li> <li>Способность самостоятельно вести проекты</li> <li>Есть понимание, что такое современный JavaScript</li> <li>Опыт работы с TypeScript</li> <li>Опыт работы со стеком ReactJS/Redux</li> <li>Опыт в вёрстке</li> <li>Умение и желание работать в команде</li> <li><strong>Суперспособность работать удалённо</strong></li> </ul> <p> </p> <p><strong>Что будем делать:</strong></p> <ul> <li>Разрабатывать приложение SaaS платформы, используя технологии TypeScript, React, Redux.</li> <li>Строить процесс в привычной среде – Bitbucket/GitLab/GitHub.</li> </ul> <p> </p> <p><strong>Дополнительные инструкции</strong></p> <p>Мы будем особенно признательны (и внимательны), если вы пришлете нам краткое сопроводительное письмо, ссылку на GitHub или любые другие материалы.</p>",,"Минимум 1 год опыта в веб-разработке (junior-middle). Способность самостоятельно вести проекты. Есть понимание, что такое современный JavaScript. ",[],35000.0,0.0
257,35148684,Программист/верстальщик wordpress,2020-01-05T08:26:44+0300,Москва,РемСервис,От 1 года до 3 лет,Полная занятость,Полный день,"<p>Наша студия занимается дизайном интерьеров. У нас есть сайт (на wordpress) и отдельные люди кто занимается директом и seo. Сейчас мы ищем человека который будет заниматься редактированием сайта, а именно: у нас есть тз на правки страниц которые мы хотим внести, необходимо учитывая наши пожелания, собрать рекомендации от директологов и seo специалиста после чего предложить вариант изменения страницы согласовать его и реализовать на сайте.</p> <p>Основная идея состоит в том чтобы не переделывать текущий дизайн ( не отрисовывать новый и потом его верстать), а выполнить правки используя стандартные блоки wordpress или докупив какие-то темы и блоки.</p> <p>Также есть задача создать новый сайт по этой же тематике.</p> <p><strong>Обязанности:</strong></p> <ul> <li>создание тз для правок</li> <li>создание макета</li> <li>согласование макета</li> <li>внесение правок на сайте</li> <li>доработка функционала сайта</li> <li>наполнение сайта графической и текстовой информацией</li> </ul> <strong>Требования:</strong> <ul> <li>знание WordPress обязательно</li> <li>знание графических редакторов Photoshop, Corel DRAW – приветствуется</li> <li>умение анализировать конкурентов по тематике сайта</li> <li>знание основ интернет маркетинга будет плюсом</li> </ul> <strong>Условия:</strong> <ul> <li>Работа постоянная внесение правок и администрирование сайтов</li> <li>Работа в офисе</li> </ul>","Основная идея состоит в том чтобы не переделывать текущий дизайн ( не отрисовывать новый и потом его верстать), а выполнить правки...","Знание WordPress обязательно. Знание графических редакторов Photoshop, Corel DRAW – приветствуется. Умение анализировать конкурентов по тематике сайта. Знание основ интернет маркетинга...","['Adobe Photoshop', 'CSS', 'Маркетинговый анализ', 'PHP', 'CMS Wordpress']",45000.0,0.0
