,id,name,created_at,area,employer,experience,employment,schedule,description,responsibility,requirement,key_skills,salary_from,salary_to
0,32697772,Инженер-программист ( front-end developer ) junior/middle,2019-11-25T08:56:10+0300,Москва,Институт прикладных экономических исследований РАНХиГС при Президенте Российской Федерации,От 1 года до 3 лет,Полная занятость,Полный день,"<p><strong>Лаборатория интеллектуального анализа и визуализации больших данных РАНХиГС приглашает на работу </strong><strong>фронтэнд-программиста</strong><strong>.</strong></p> <p><strong>Вакансия </strong>- Инженер-программист ( front-end developer ), уровень квалификации junior/middle</p> <p><strong>Задачи:</strong></p> <ul> <li> <p>Разработка интерактивного многопользовательского web-портала (нового информационно-аналитического программного продукта в области экономики и статистики).</p> </li> </ul> <p><strong>Обязанности:</strong></p> <ul> <li> <p>Разрабатывать пользовательскую интерфейсную часть web-портала хранения, обработки и графического представления социально-экономических данных.</p> </li> <li> <p>Заниматься программированием, писать код.</p> </li> <li> <p>Визуализировать имеющиеся наборы данных с применением различных технологий, программных инструментов и доступных библиотек.</p> </li> <li> <p>Взаимодействовать с дизайнерами, программистами и UX-аналитиками в целях создания удобного и востребованного продукта.</p> </li> <li> <p>Стек технологий: JavaScript, Bootstrap4, Python, Flask, Jinja2, PostgreSQL.</p> </li> </ul> <p><strong>Требования:</strong></p> <ul> <li> <p>Релевантный опыт front-end разработки от 1-ого года.</p> </li> <li> <p>Опыт веб-ориентированной графической визуализации данных (графики, таблицы, диаграммы, карты-схемы).</p> </li> <li> <p>Знание веб-технологий: HTML5, CSS3, JavaScript, Bootstrap4.</p> </li> <li> <p>|Понимание основ кросс-браузерной и кросс-платформенной разработки, основ адаптивной верстки.</p> </li> </ul> <p><strong>Приветствуется:</strong></p> <ul> <li> <p>Навыки использования JavaScript фреймворков и библиотек (jQuery, Angular.JS, React.JS и пр.)</p> </li> <li> <p>Опыт работы с системами и библиотеками интерактивной визуализации данных ( D3, amCharts, Vega, Gephi, Tableau, R Shiny), SVG-объектами.</p> </li> <li> <p>Опыт использования средств коллективной разработки и управления (JIRA, Confluence, Git).</p> </li> <li> <p>Опыт работы с аналитическими BI системами (Power BI, SpagoBI, JasperSoft BI).</p> </li> </ul> <p><strong>Условия:</strong></p> <ul> <li> <p>100-140 тыс. рублей до вычета НДФЛ, возможно увеличение по результатам собеседования.</p> </li> <li> <p>Комфортный офис в 5 минутах ходьбы от метро Юго-Западная.</p> </li> <li> <p>Устройство по ТК РФ.</p> </li> <li> <p>Полная занятость.</p> </li> <li> <p>Молодой и дружный коллектив профессионалов.</p> </li> <li> <p>Внутреннее обучение (конференции, семинары, учебные курсы, литература) и карьерный рост.</p> </li> </ul>","Визуализировать имеющиеся наборы данных с применением различных технологий, программных инструментов и доступных библиотек. Взаимодействовать с дизайнерами, <highlighttext>программистами</highlighttext> и UX-аналитиками...","Релевантный опыт front-end разработки от 1-ого года. Опыт веб-ориентированной графической визуализации данных (графики, таблицы, диаграммы, карты-схемы). ","['JavaScript', 'jQuery', 'Git', 'HTML5', 'CSS3', 'Flask']",100000.0,140000.0
1,34397645,Программист,2019-11-25T12:58:22+0300,Москва,АВАНТИС3Д,От 3 до 6 лет,Полная занятость,Полный день,"<p><strong>Кого ищем?</strong></p> <ul> <li><strong>C++ программиста</strong> который не забыл университетский курс математики</li> </ul> <p><strong>Над какими задачами нужно работать?</strong></p> <ul> <li>Модернизация кода CAD-системы (портирование на другие ОС).</li> <li>Решение геометрических и стереометрических задач в уникальной предметной области, охватывающей медицину, биомеханику, вычислительные алгоритмы и трехмерную графику.</li> <li>Разработка архитектурных решений для интеграции новых вещей в отлаженные отработанные механизмы</li> </ul> <p><strong>Какие профессиональные навыки нам важны?</strong></p> <ul> <li>Знание С++, STL, Boost, шаблоны проектирования</li> <li>Знание математики и аналитической геометрии</li> <li>Опыт кроссплатформенной разработки, разработки с использованием MFC и Qt будет большим плюсом</li> </ul> <p><strong>Какое высшее образование потребуется?</strong></p> <ul> <li>Техническое образование (инженерное, математическое)</li> </ul> <p><strong>Нужен ли английский?</strong></p> <ul> <li>да, Intermediate</li> </ul> <p><strong>Что еще нам важно в человеке?</strong></p> <ul> <li>Пригодится умение общаться с людьми, четко излагать мысли. Ценим инициативность и энтузиазм.</li> </ul> <p><strong>С какими технологиями придется столкнуться в работе?</strong></p> <ul> <li>C++11, STL, boost, MFC(Qt), Windows, Visual Studio.</li> </ul>","Модернизация кода CAD-системы (портирование на другие ОС). Решение геометрических и стереометрических задач в уникальной предметной области, охватывающей медицину, биомеханику...","Знание С++, STL, Boost, шаблоны проектирования. Знание математики и аналитической геометрии. Опыт кроссплатформенной разработки, разработки с использованием MFC и Qt...",[],150000.0,0.0
2,33924627,Инженер-разработчик (программист микроконтроллеров),2019-11-25T17:50:15+0300,Москва,Парус электро,От 3 до 6 лет,Полная занятость,Полный день,"<p><strong>Компания &quot;Парус Электро&quot; - </strong>проектировщик и производитель систем бесперебойного питания. Отечественный лидер в области разработки и производства источников бесперебойного питания. География нашего присутствия - от Калининграда до Владивостока!</p> <p>Мы обеспечиваем вашу стабильность и работаем над вашим будущим!</p> <p> </p> <p><strong>Ключевые навыки:</strong></p> <ul> <li>Опыт разработки ПО под микроконтроллеры ARM (Cortex-М- семейство);</li> <li>Цифровая системотехника;</li> <li>Опыт разработки, оптимизации и отладки приложений под встраиваемые системы (Embedded Linux);</li> <li>Понимание специфики разработки и отладки многопоточных приложений;</li> <li>Знание основ организации компьютерных сетей и современных сетевых протоколов;</li> <li>Знание языков программирования C++, Java;</li> <li>Работа с UART,USB,SPI и т.д.</li> </ul> <strong>Условия:</strong> <ul> <li>Работу в стабильной компании с прозрачной системой выплат в сплоченной команде единомышленников;</li> <li>Полное соблюдение ТК РФ (официальная (&quot;белая&quot;) заработная плата, отпуск 28 дней;</li> <li>Расширенную программу страхования, включающую ДМС и страхование жизни;</li> <li>Развитую корпоративную культуру, открытое общение, регулярную обратную связь;</li> <li>Корпоративные мероприятия,</li> <li>График работы с 9.00. до 18.00., в пятницу сокращённый рабочий день до 17.00.(возможно свободное посещение);</li> <li>Квартальные премии в размере 100% от оклада;</li> </ul>",Компания &quot;Парус Электро&quot; - проектировщик и производитель систем бесперебойного питания. Отечественный лидер в области разработки и производства источников бесперебойного питания. ,"Ключевые навыки: Опыт разработки ПО под микроконтроллеры ARM (Cortex-М- семейство). Цифровая системотехника. Опыт разработки, оптимизации и отладки приложений под...",[],100000.0,0.0
3,30356340,Программист,2019-11-25T10:25:40+0300,Москва,Pac Group,От 3 до 6 лет,Полная занятость,Полный день,"<p>В лидирующем туроператоре PAC GROUP, открыта вакансия <em><strong>Программист.</strong></em></p> <p>PAC GROUP- туроператор по Европе, существует и успешно развивается на российском рынке туризма уже 29 лет.</p> <p>На данный момент численность компании составляет больше 500 человек, мы ведем работу в Москве, в 23 регионах по России, а так же в зарубежных представительствах.</p> <p> </p> <p><strong>Условия:</strong></p> <ul> <li>Офис расположен в самом центре Москвы, в 1 минуте ходьбы от ст.м. Китай город;</li> <li>В офисе есть кухня, и зона отдыха;</li> <li>Кандидата ищем в связи с большим количеством задач.</li> <li>Есть сильный Тeam Lead, который введет в курс дела, и не оставит в сложных рабочих ситуациях;</li> <li>В команде 7 разработчиков, существует четкое распределение задач;</li> <li>Оплата: Оклад – 180 тысяч рублей на руки, плюс KPI – 20% от оклада ежемесячно;</li> <li>Оформление в соответствии с Трудовым законодательством с первого рабочего дня;</li> <li>Оплата больничных и отпусков (28 календарных дней);</li> <li>Испытательный срок 3 месяца, но по результату вашей успешной работы, может сократиться до месяца;</li> <li>График работы: 5/2 - время начала и окончания рабочего дня обсуждается; возможен удаленный формат работы, с возможностью периодически присутствовать в офисе после полугода работы в компании.</li> </ul> <p> </p> <p><strong>Должностные обязанности:</strong></p> <ul> <li>Развитие системы бронирования услуг по всему миру - (авиабилеты);</li> <li>Разработка web-приложений и сервисов на базе платформ MS .NET Framework / .NET Core;</li> <li>Участие в командной разработке.</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Опыт работы от 3 х лет в сфере web-технологии, GDS;</li> <li>Уверенное знание языка C# и платформы .NET 4.5+ / Core 2.0+(есть подтвержденные завершенные проекты);</li> <li>Знание ASP.NET MVC (наличие завершенных проектов);, Entity Framework, LINQ;</li> <li>Умение работать с системами контроля версий (TFS);</li> <li>Владение английским языком на уровне переписки.</li> </ul> <p> </p> <p><strong>Ждем вас в нашу команду!</strong></p> <p> </p>",Развитие системы бронирования услуг по всему миру - (авиабилеты). Разработка web-приложений и сервисов на базе платформ MS .NET Framework / .NET...,"Опыт работы от 3 х лет в сфере web-технологии, GDS. Уверенное знание языка C# и платформы .NET 4.5...",[],180000.0,0.0
4,31533142,Программист-стажер,2019-11-25T19:56:21+0300,Москва,Авиком Бизнес Технологии,Нет опыта,Частичная занятость,Гибкий график,"<p>Компания АВИКОМ, лидер российского рынка автоматизации компаний сферы профессиональных услуг, разработчик системы ProjectMate, приглашает на работу «программиста-стажера».</p> <p> </p> <p><strong>Требования</strong>:</p> <ul> <li>профильное незаконченное высшее образование (4-й курс и старше)</li> <li> <p>понимание принципов ООП и парадигмы MVVM</p> </li> <li> <p>базовые знания .NET (C#, WPF/WinForms)</p> </li> <li> <p>базовые знания T-SQL, MS SQLServer</p> </li> </ul> <p> </p> <p><strong>Пожелания</strong>:</p> <ul> <li>приветствуются знания ASP.NET WEB API, JavaScript, HTML, CSS, а так же Angular</li> <li>будет здорово, если вы знаете и разделяете ценности Agile / XP / TDD</li> <li>если не знаете, но хотите узнать – это тоже неплохо, важно что бы в этом направлении вы бы делали реальные шаги</li> </ul> <p> </p> <p><strong>Задачи этапа стажировки</strong>:</p> <ul> <li>влиться в команду разработки</li> <li>разобраться в продукте, используемых технологиях и начать делать полезные штуки для наших клиентов</li> <li>наметить план последующей работы и развития</li> </ul> <p> </p> <p><strong>Условия</strong>:</p> <ul> <li>офис в центре Москвы рядом с метро Павелецкая</li> <li>возможен неполный рабочий день (не менее 30 часов в неделю) при относительно свободном графике</li> <li>оплачиваемая стажировка 3 месяца, после успешной стажировки – трудоустройство в штат компании</li> </ul>","Влиться в команду разработки. Разобраться в продукте, используемых технологиях и начать делать полезные штуки для наших клиентов. Наметить план последующей...","Профильное незаконченное высшее образование (4-й курс и старше). Понимание принципов ООП и парадигмы MVVM. Базовые знания .NET (C#, WPF...",[],,
5,34735334,Программист PHP (middle+),2019-11-25T22:38:49+0300,Москва,PLAY,От 3 до 6 лет,Полная занятость,Полный день,"<p>Привет!</p> <p>Если ты хочешь работать над сложным продуктом, в отличной команде и запускать проекты для компаний с мировыми именами - тебе точно стоит обратить внимание на эту работу.</p> <p>Мы ищем PHP-разработчика в продуктовую команду в одной из самых интересных и востребованных сфер: HRTech, EdTech, e-learning, gamification.</p> <ul> <li>Работа с<strong> </strong>продуктом и проектами на его основе (motivity.digital)</li> <li>Проект за 2 минуты (видео): vimeo.com/239999574</li> <li>Интересные задачи для клиентов первого эшелона: Sony, adidas, BMW, Philip Morris, Bosch, AGC и др.</li> </ul> <p>Работаем в России, СНГ, планируем выходить на глобальный рынок. Проходим аккредитацию в Sk HRTech.</p> <p>Ищем разработчиков <strong>middle</strong>+ и <strong>senior</strong> уровня для сотрудничества в офисе или удалённо.</p> <p><strong>Требования:</strong></p> <ul> <li>Опыт разработки от 3х лет.</li> <li>Хорошее знание PHP, ООП.</li> <li>JS</li> <li>MySQL</li> <li>Git</li> <li>Умение писать понятный, структурированный код. PSR-ы и прочие друзья. При этом не страдать и не впадать в депрессию от легаси.</li> </ul> <p>Мы ищем действительно крепкого мидла или сениор разработчика, нашедшего свой дзен и баланс между скоростью и качеством кода.</p> <p><strong>Плюсом будет:</strong></p> <ul> <li>Опыт сложных интеграций (например: CRM, SMS­-шлюз, мерчанты и пр.).</li> <li>Опыт с кадровыми (1С, Босс-кадровик, Битрикс 24 и т.п.) программами.</li> <li>Опыт с LMS / СДО (системы обучения вроде Moodle, Websoft, плееры SCORM или самописные образовательные движки).</li> <li>Опыт работы в Jira.</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Белая ЗП.</li> <li>Уровень денег зависит от результатов технического собеседования и того, что мы покажем друг другу за период испытательного срока. За хорошую работу платим достойно. Каждые 3 месяца проводим ревью, которое помогает расти профессионально и в деньгах.</li> <li>Официальное оформление и ЗП, отпуск, больничный.</li> <li>Бонусы, премии, корпоративные мероприятия.</li> <li>Уютный офис на дизайн-заводе Флакон (или коворкинг в твоём городе, или из дома), отличная команда, хороший кофе, вся необходимая для работы техника и софт, гибкий график.</li> <li>Поддержим любые разумные инициативы по развитию и профессиональному росту: книги, курсы, обмен опытом в команде.</li> </ul> <p><strong>Что дальше:</strong></p> <ol> <li>Откликайся на вакансию с вопросами и пожеланиями. Указывай желаемый уровень дохода и контакты для связи.</li> <li>Мы проведём интервью по телефону, зададим и ответим на вопросы.</li> <li>Попросим пример кода (можно сразу кидать ссылку на git в сопроводительном).</li> <li>Проведём технологическое собеседование.</li> <li>Работа со смыслом и пользой в позитивном молодом коллективе.</li> </ol>","Работа с продуктом и проектами на его основе (motivity.digital). Опыт с LMS / СДО (системы обучения вроде Moodle, Websoft, плееры SCORM...","Мы ищем действительно крепкого мидла или сениор <highlighttext>разработчика</highlighttext>, нашедшего свой дзен и баланс между скоростью и качеством кода. ","['PHP', 'MySQL', 'Git', 'ООП', 'JavaScript', 'jQuery', 'Symfony']",140000.0,0.0
6,34418956,Backend-разработчик (PHP/Symfony),2019-11-25T10:07:24+0300,Москва,Like Центр,Нет опыта,Полная занятость,Полный день,"<p>Мы создаем платформу для управления бизнесом, которая станет главным рабочим инструментом начинающего предпринимателя.</p> <p>Ищем в команду сильного разработчика с амбицией стать техническим лидом всей команды, которая будет расширяться с ростом функционала платформы.</p> <p><strong>Задачи:</strong></p> <ol> <li> <p>Рефакторинг и оптимизация существующего кода;</p> </li> <li> <p>Разработка архитектуры новых модулей;</p> </li> <li> <p>Доработка функционала и создание новых модулей;</p> </li> <li> <p>Много работы с внешними интеграциями: Яндекс.Метрика, Яндекс.Директ, рекламные кабинеты социальных сетей и так далее;</p> </li> <li> <p>Разработка и сопровождение REST API.</p> </li> </ol> <p><strong>Базовые требования:</strong></p> <ol> <li> <p>Опыт работы PHP-разработчиком от 2 лет;</p> </li> <li> <p>Опыт работа с фреймворком Symfony;</p> </li> <li> <p>Опыт разработки и поддержки Backend для SPA;</p> </li> <li> <p>Умение работать с кэшем (файловый, Redis);</p> </li> <li> <p>Знание ООП, MVC;</p> </li> <li> <p>Опыт работы с БД через PDO (мы используем Doctrine);</p> </li> <li> <p>Тебя не должны пугать просьбы сделать сложные запросы на чистом MySQL;</p> </li> <li> <p>Опыт интеграции сторонних REST API и написания собственного;</p> </li> <li> <p>Умение работать с командной строкой Linux.</p> </li> </ol> <p><strong> Преимуществом будет:</strong></p> <ol> <li> <p>Опыт проектирование веб-решений от 100 000 уников в месяц;</p> </li> <li> <p>Опыт работы с нереляционными базами данных;</p> </li> <li> <p>Опыт созданий кастомной авторизации и аутентификаци на фреймворке;</p> </li> <li> <p>Опыт работы на Python;</p> </li> <li> <p>Опыт написания автотестов;</p> </li> <li> <p>Опыт работы с импортом и экспортом (csv);</p> </li> <li> <p>Понимание принципов микросервисной разработки;</p> </li> </ol> <p><strong>Условия работы:</strong></p> <ol> <li> <p>Работа в комфортном офисе в «Москва-Сити».</p> </li> <li> <p>Мы работаем по Agile, двухнедельными спринтами, поэтому ты сможешь комфортно самостоятельно выбирать темп работы</p> </li> <li> <p>Мы уважаем сотрудников, поэтому никогда без твоего участия не поставим задачи, которые невозможно выполнить.</p> </li> <li> <p>Конкурентная заработная плата: оклад + KPI по итогам месяца. Итоговый уровень будет обсуждаться с успешным кандидатом.</p> </li> <li> <p>Официальное трудоустройство и полный социальный пакет.</p> </li> </ol>",Рефакторинг и оптимизация существующего кода. Разработка архитектуры новых модулей. Доработка функционала и создание новых модулей. Много работы с внешними интеграциями...,Опыт работы PHP-<highlighttext>разработчиком</highlighttext> от 2 лет. Опыт работа с фреймворком Symfony. Опыт разработки и поддержки Backend для SPA. ,"['MySQL', 'ООП', 'Python', 'Git', 'Redis', 'Symfony', 'Linux', 'REST']",0.0,150000.0
7,34732553,Frontend JavaScript (js) разработчик,2019-11-25T17:01:08+0300,Москва,МТГ. Бизнес-решения,От 1 года до 3 лет,Полная занятость,Полный день,"<p>Компании-разработчику программного обеспечения системы управления очередью &quot;МАКСИМА&quot; требуется Front-End разработчика на TypeScript со знанием React.</p> <p>В задачах стоит разработка как новых, так и поддержка старых приложений комплекса (порядка 10 приложений).</p> <p>В задачи небольшой, но слаженной команды входит использование передовых, но проверенных технологий, а также оригинальный подход к решению нестандартных задач, которые периодически ставят нам клиенты.</p> <p>Будучи одними из лидеров рынка, наша компания разрабатывает и другие продукты, среди которых система оценка качества обслуживания и другие.</p> <p>Работа строго в офисе, т.к. предполагается командная работа.</p> <p>Имеется &quot;старший&quot; разработчик, которому можно задать вопросы и который обязательно введёт в курс дела на первое время.</p> <p>Если не знаете, TypeScript - не беда, можно изучить быстро, но вот React надо знать хорошо.</p> <p>При желании возможно программирование back-end&#39;а других проектов (малая часть времени) на Node.js, C++.</p> <p>А теперь формальная часть!)</p> <p><strong>Требования:</strong></p> <ul> <li>Хорошее знание HTML, CSS</li> <li>Знание React+Redux</li> <li>Хорошее владение отладочными инструментами, например, Chrome DevTool</li> <li>Умение проектировать архитектуру функциональных приложений с учетом требований по быстродействию</li> </ul> <p><strong>Желательно:</strong></p> <ul> <li>Опыт написания и поддержания приложений на TypeScript</li> <li>Будет плюсом: Webpack, Sass, Less</li> <li>Будет большим плюсом: async, await, promise</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Работа в офисе рядом с ст. м. Рязанский пр-т (15 минут пешком, 5-10 минут на транспорте от м.Рязанский проспект‚ в 2019 году ожидается открытие ст. м. Окская в 5 минутах от офиса)</li> <li>График с 9:00 до 18:00</li> <li>Социальные гарантии по ТК РФ</li> <li>Повышение квалификации</li> </ul>","В задачах стоит разработка как новых, так и поддержка старых приложений комплекса (порядка 10 приложений).","Хорошее знание HTML, CSS. Знание React+Redux. Хорошее владение отладочными инструментами, например, Chrome DevTool. Умение проектировать архитектуру функциональных приложений с учетом...","['JavaScript', 'HTML', 'CSS', 'HTML5', 'React']",130000.0,0.0
8,34546136,Прикладной программист (Front-end программист),2019-11-25T10:46:54+0300,Москва,AERODISK,От 3 до 6 лет,Полная занятость,Полный день,"<strong>Обязанности:</strong> <ul> <li>Разработка современного веб-интерфейса на стеке Reactjs, Python(Flask) <ul> <li>гибридная СХД</li> <li>scale-out СХД c поддержкой серверной виртуализации</li> <li>система мониторинга</li> <li>внутренние инструменты разработки</li> </ul> </li> <li>Исследование стороннего ПО</li> <li>Работа с чужими исходниками на разных языках программирования</li> <li>Документирование исходного кода, методик и исследований</li> <li>Сопровождение ПО (разработка патчей, консультирование инженеров)</li> </ul> <strong>Требования:</strong> <ul> <li>Экспертные знания JS</li> <li>Знания Reactjs, Redux</li> <li>Опыт разработки интерфейсов с применением технологии Ajax</li> <li>Базовые знания python, ООП, HTML, CSS</li> <li>Базовые Знание Linux</li> <li>Способность выполнять многочисленные сложные технические задачи</li> <li>Опыт разработки Web-интерфейсов или Web-сайтов (в открытом доступе)</li> <li>Технический английский (чтение и восприятие документацию на английском языке)</li> <li>Опыт аналогичной работы от 1-го года</li> </ul> <strong>Условия:</strong> <ul> <li>Комфортный офис - м. Калужская</li> <li>Рабочий день с 9 до 18</li> <li>Соблюдение ТК РФ</li> <li>ДМС</li> <li>Возможность карьерного роста (компания активно расширяется)</li> </ul>","Разработка современного веб-интерфейса на стеке Reactjs, Python(Flask). Гибридная СХД. Scale-out СХД c поддержкой серверной виртуализации. Система мониторинга. ","Экспертные знания JS. Знания Reactjs, Redux. Опыт разработки интерфейсов с применением технологии Ajax. Базовые знания python, ООП, HTML, CSS. ",[],100000.0,150000.0
9,34720164,Программист С++,2019-11-25T11:21:31+0300,Москва,Финстарлабс,От 1 года до 3 лет,Полная занятость,Полный день,"<p><strong>Обязанности</strong>:</p> <p>Разработка графического терминального ПО для проектов Компании под Линукс с использованием C++, OpenGL/mesa, emscripten.</p> <p><strong>Требования</strong>:</p> <p>Обязательные требования:<br />•хорошее знание ООП, C++, STL, C++11 (опыт разработки от 2-х лет)<br />•знание базовых алгоритмов и структур данных<br />•базовые знания компьютерной графики (2D, OpenGL)<br />•опыт разработки под Linux</p> <p>Плюсом будет следующее:<br />•опыт работы в команде от 3-х человек<br />•умение работать с системами контроля версий (git)<br />•знание шаблонов проектирования<br />•опыт использования высокоуровневых графических библиотек (редактор, построение сцены, управление ресурсами, текстуры, анимации и т. д.)<br />•опыт разработки многопоточных и сетевых приложений<br />•опыт работы с периферийными устройствами<br />•знание boost, cocos2d, bash, SQL, JSON, C#, Java, python</p> <p>Умение работать в команде и читать чужой код, ответственность по срокам выполнения задач, восприимчивость к чужим алгоритмическим и проектным решениям.</p> <p> </p> <p><strong>Условия</strong>:</p> <p>1. Оформление по ТК РФ;</p> <p>2. ДМС после окончания испытательного срока;</p> <p>3. Современный офис и комфортабельное рабочее место;</p> <p>4. Бесплатная охраняемая стоянка;</p> <p>5. Отпуск 34 календарных дня;</p> <p>8. Квартальные и годовые премии.</p> <p> </p> <p>Удаленную работу не рассматриваем!</p>",,"Хорошее знание ООП, C++, STL, C++11 (опыт разработки от 2-х лет). Знание базовых алгоритмов и структур данных. ","['C++', 'Linux', 'OpenGL', 'Git', 'SQL', 'Boost', 'COCOS']",100000.0,130000.0
